lanes,shards,order_every,rate,accepted_per_sec,drop_pct,orders_per_sec,cpu_samples,cpu_avg_cores,cpu_max_cores,threads_max,started_at
4,4,1,1592,1591,0.0,1,9,0.03,0.08,23,13:41:30
4,4,1,5469,5464,0.0,2,8,0.02,0.04,23,13:41:53
4,4,1,17446,17437,0.0,2,9,0.05,0.08,23,13:42:15
4,4,1,73315,73266,0.0,2,8,0.20,0.48,23,13:42:37
