lanes,shards,tickers,seconds,order_every,zipf,rate,elapsed_sec,ticks_emitted,offered_per_sec,accepted_per_sec,drop_pct,signals,orders,orders_per_sec,shard_high_water,order_high_water,fill_high_water,trade_dropped,shard_dropped,order_dropped,fill_dropped,latency_samples,p50_us,p99_us,max_us,started_at
4,4,2700,5,1,1.0,100,10.3,1024,99,99,0.0,1024,1024,99,142,1023,0,0,0,0,0,1024,1100277.0,2378021.0,2406824.0,11:53:42
4,4,2700,5,1,1.0,200,5.1,1024,199,199,0.0,1024,1024,199,256,1023,0,0,0,0,0,1024,1335881.0,2845653.0,2877346.0,11:53:54
4,4,2700,5,1,1.0,400,5.1,2048,398,398,0.0,2048,1806,351,256,1024,544,0,0,242,0,1806,2364200.0,4014706.0,4115720.0,11:54:01
4,4,2700,5,1,1.0,100000,5.0,499712,99782,99782,0.0,499712,2098,418,768,1024,20,0,0,497372,0,2191,3517164.0,4022282.0,4062672.0,11:54:09
4,4,2700,5,1,1.0,200000,5.0,994816,197258,159493,19.1,746280,1640,325,4096,1024,38,190458,58078,744124,0,1641,3608457.0,4575762.0,4763241.0,11:54:17
4,4,2700,5,1,1.0,400000,5.0,1999872,396971,393155,1.0,1573423,549,108,4096,1024,34,19221,407228,1572093,0,550,4698573.0,6452127.0,7437429.0,11:54:25
4,4,2700,5,1,1.0,800000,5.1,3960576,770735,386374,49.9,1354629,1380,268,4096,1024,51,1975114,630833,1352641,0,1381,3341222.0,5648375.0,6157740.0,11:54:33
