lanes,shards,tickers,seconds,order_every,zipf,strategy,zmq,rate,elapsed_sec,ticks_emitted,offered_per_sec,accepted_per_sec,drop_pct,signals,orders,orders_per_sec,shard_high_water,order_high_water,fill_high_water,trade_dropped,shard_dropped,order_dropped,fill_dropped,latency_samples,p50_us,p99_us,max_us,started_at
4,4,2700,20,1,1.0,counter,127.0.0.2,1592,20.6,32768,1590,1590,0.0,32768,6139,298,256,1024,330,0,0,26604,0,6140,3653009.0,4459289.0,4595255.0,13:38:34
4,4,2700,20,1,1.0,itb,127.0.0.2,1592,20.6,32768,1591,1591,0.0,34,34,1,256,10,10,0,0,0,0,34,7318.0,23967.0,23967.0,13:38:58
4,4,2700,20,1,1.0,counter,127.0.0.2,5469,20.0,109568,5465,5465,0.0,109568,6840,341,256,1024,122,0,0,102728,0,6840,3344845.0,3710639.0,3776071.0,13:39:20
4,4,2700,20,1,1.0,itb,127.0.0.2,5469,20.0,109568,5465,5465,0.0,44,44,2,256,10,10,0,0,0,0,44,4487.0,25896.0,25896.0,13:39:43
4,4,2700,20,1,1.0,counter,127.0.0.2,17446,20.0,349184,17433,17433,0.0,349184,6934,346,256,1024,45,0,0,342233,0,6935,3291438.0,3908179.0,3949496.0,13:40:05
4,4,2700,20,1,1.0,itb,127.0.0.2,17446,20.0,349184,17430,17430,0.0,52,50,2,256,9,8,0,0,0,0,52,2724.0,14227.0,14227.0,13:40:30
