round,role,timestamp,shard,shard_out,shard_dropped,order,fill,fill_dropped,order_dropped,order_stale,order_duplicate,order_implausible,order_truncated,order_response_dropped,beat_gap_max,order_beat_gap_max,order_answer_overdue,ledger_gen,ledger_foreign,control_dropped,control_relay_dropped,control_discarded,symbol_register_timeout,symbol_lookup_miss,strategy_register_timeout,watch_overflow,feed_channel_overflow,feed_channel_discarded,feed_channel_sent,feed_channel_received,fill_channel_overflow,fill_channel_discarded,fill_channel_sent,fill_channel_received
equiv300_split,order,2026-09-25 12:25:58,/4096,0/4096,0,0/1024,11/1024,0,0,0,0,0,0,0,12ms,0ms,0,25297,0,0,0,0,0,0,0,0,0,0,253269,253269,0,0,0,0
equiv300_split,feed,2026-09-25 12:26:09,/4096,0/4096,0,0/1024,0/1024,0,0,0,0,0,0,0,0ms,0ms,0,30864,0,0,0,0,0,0,0,0,0,0,265700,265700,0,0,0,0
equiv300_split,strategy,2026-09-25 12:26:09,"710,630,709,684/4096",0/4096,0,300/1024,0/1024,0,0,0,0,0,0,0,0ms,288ms,0,30862,0,0,0,0,0,0,0,0,0,0,265700,265700,0,0,0,0
