variant	month	n_days	n_buy_fills	n_sell_fills	mean_r	mae_med	win_rate	turnover	deployed	gross	net	cost	turnover_x	cost_share
e6_delay1	202603	1035	3901	3901	-0.3212	-2.9903	0.3372	6471398013.0000	1732305828.3647	-13384588.0000	-33413129.5997	20028541.5997	3.7357	1.4964
e6_delay1	202604	1148	3402	3402	-0.1331	-2.6911	0.3902	5614751893.0000	1883218410.8241	2180341.0000	-15230731.7037	17411072.7037	2.9815	7.9855
e6_delay1	202605	202	512	512	-0.0560	-2.6414	0.4406	824001337.0000	324833591.6816	1280588.0000	-1276953.5853	2557541.5853	2.5367	1.9972
e7_delay2	202509	773	1549	1549	-0.1548	-2.3301	0.3312	2563655842.0000	1273049067.3800	-4088777.0000	-12026092.6065	7937315.6065	2.0138	1.9412
e7_delay2	202510	934	1966	1966	-0.1122	-2.4901	0.4047	3237926159.0000	1539202770.9104	-494364.0000	-10530723.9011	10036359.9011	2.1036	20.3016
e7_delay2	202511	1000	2378	2378	-0.1554	-2.6186	0.3750	3929270293.0000	1656512028.3967	-3268191.0000	-15440921.8403	12172730.8403	2.3720	3.7246
e7_delay2	202512	1085	2640	2640	-0.1273	-2.6136	0.3770	4413599792.0000	1811994211.1670	-277707.0000	-13959185.9730	13681478.9730	2.4358	49.2659
e7_delay2	202601	1110	2471	2471	-0.0709	-2.5113	0.4342	4050921446.0000	1823201525.1891	4725313.0000	-7844120.4994	12569433.4994	2.2219	2.6600
e7_delay2	202602	924	2007	2007	-0.0927	-2.3562	0.4372	3258137634.0000	1505455605.5017	1472451.0000	-8631383.1703	10103834.1703	2.1642	6.8619
e7_delay2	202603	1025	3245	3245	-0.2961	-2.8986	0.3307	5387457306.0000	1713501770.6667	-13867892.0000	-30535033.3132	16667141.3132	3.1441	1.2019
e7_delay2	202604	1145	2849	2849	-0.1162	-2.5707	0.3965	4693321555.0000	1875154134.4494	1332594.0000	-13219967.6758	14552561.6758	2.5029	10.9205
e7_delay2	202605	202	419	419	-0.0006	-2.1674	0.4950	674488855.0000	324104471.0610	1914205.0000	-181400.2527	2095605.2527	2.0811	1.0948
e8_delay3	202509	720	1119	1119	-0.1023	-1.7752	0.3319	1846618916.0000	1186309972.5918	-1654529.0000	-7374994.0435	5720465.0435	1.5566	3.4575
e8_delay3	202510	891	1500	1500	-0.0948	-1.9345	0.3984	2465591359.0000	1464783472.7883	-795181.0000	-8436566.0194	7641385.0194	1.6832	9.6096
e8_delay3	202511	954	1727	1727	-0.1031	-2.2426	0.3721	2851400663.0000	1576113233.1263	-987671.0000	-9824593.2613	8836922.2613	1.8091	8.9472
e8_delay3	202512	1028	1925	1925	-0.0890	-2.2852	0.3735	3212346581.0000	1715219630.5503	772926.0000	-9187242.0698	9960168.0698	1.8728	12.8863
e8_delay3	202601	1069	1903	1903	-0.0674	-2.1226	0.4097	3112545323.0000	1751211333.9609	2566458.0000	-7088720.3234	9655178.3234	1.7774	3.7621
e8_delay3	202602	892	1526	1526	-0.0963	-1.9154	0.3890	2469976001.0000	1449997974.4572	-915591.0000	-8570273.4051	7654682.4051	1.7034	8.3604
e8_delay3	202603	1003	2298	2298	-0.2037	-2.7601	0.3330	3807799448.0000	1673127563.4791	-8564597.0000	-20347792.0261	11783195.0261	2.2759	1.3758
e8_delay3	202604	1108	2085	2085	-0.1026	-2.1232	0.3718	3420605844.0000	1810658498.5178	-583315.0000	-11185763.9946	10602448.9946	1.8892	18.1762
e8_delay3	202605	197	337	337	-0.0179	-1.6129	0.4822	541850773.0000	315427482.6822	1197657.0000	-485014.6559	1682671.6559	1.7178	1.4050
e9_nostop	202509	774	1254	1254	-0.0581	-2.7337	0.4134	2069925765.0000	1273930367.8532	2095205.0000	-4326698.1237	6421903.1237	1.6248	3.0650
e9_nostop	202510	935	1547	1547	-0.0225	-2.7372	0.4727	2539804083.0000	1537870115.2469	5956014.0000	-1931970.8916	7887984.8916	1.6515	1.3244
e9_nostop	202511	1003	1726	1726	-0.0748	-3.5336	0.4167	2850515076.0000	1658454099.9232	1727912.0000	-7112918.1200	8840830.1200	1.7188	5.1165
e9_nostop	202512	1089	1960	1960	-0.0450	-3.3626	0.4444	3270551648.0000	1815417540.8859	5465394.0000	-4686706.3241	10152100.3241	1.8015	1.8575
e9_nostop	202601	1114	1953	1953	0.0076	-3.0599	0.4955	3194671254.0000	1826396305.4474	11059254.0000	1128677.9403	9930576.0597	1.7492	0.8979
e9_nostop	202602	925	1610	1610	-0.0063	-2.9231	0.4930	2598936555.0000	1501596024.4037	7706470.0000	-369114.1720	8075584.1720	1.7308	1.0479
e9_nostop	202603	1035	2069	2069	-0.1728	-4.8750	0.4087	3428887868.0000	1724727539.6767	-6910619.0000	-17523240.3742	10612621.3742	1.9881	1.5357
e9_nostop	202604	1148	2157	2157	-0.0128	-3.3285	0.4347	3538325669.0000	1875864192.6875	10048031.0000	-945396.2498	10993427.2498	1.8862	1.0941
e9_nostop	202605	202	329	329	-0.0001	-3.2662	0.4703	524406330.0000	322733552.5428	1553415.0000	-76050.4897	1629465.4897	1.6249	1.0490
