variant	ticker	ymd	aligned_prev	atr14_pct	open_dev_pct	buys	sells	buy_notional	sell_notional	gross_pnl	net_pnl	max_deployed	ret_pct	r	mae_pct	exits
e1_atr0.3	047040	20260406	True	17.0252	16.9985	2	2	3379850.0000	3386610.0000	6760.0000	-3734.0970	1693750.2225	-0.2205	-0.0367	-3.4910	"{""tp"": 1, ""eod"": 1}"
e2_atr0.5	047040	20260406	True	17.0252	16.9985	2	2	3379850.0000	3386610.0000	6760.0000	-3734.0970	1693750.2225	-0.2205	-0.0367	-3.4910	"{""tp"": 1, ""eod"": 1}"
e3_atr1.5	047040	20260406	True	17.0252	16.9985	2	2	3379850.0000	3386610.0000	6760.0000	-3734.0970	1693750.2225	-0.2205	-0.0367	-3.4910	"{""tp"": 1, ""eod"": 1}"
e4_atr2.0	047040	20260406	True	17.0252	16.9985	2	2	3379850.0000	3386610.0000	6760.0000	-3734.0970	1693750.2225	-0.2205	-0.0367	-3.4910	"{""tp"": 1, ""eod"": 1}"
e5_atr2.5	047040	20260406	True	17.0252	16.9985	2	2	3379850.0000	3386610.0000	6760.0000	-3734.0970	1693750.2225	-0.2205	-0.0367	-3.4910	"{""tp"": 1, ""eod"": 1}"
e6_delay1	047040	20260406	True	17.0252	16.9985	3	3	5087770.0000	5064680.0000	-23090.0000	-38805.5165	1701405.1950	-2.2808	-0.3801	-4.0488	"{""tp"": 1, ""stop"": 1, ""eod"": 1}"
e7_delay2	047040	20260406	True	17.0252	16.9985	2	2	3395000.0000	3424100.0000	29100.0000	18504.2050	1700544.6360	1.0881	0.1814	-2.1689	"{""tp"": 1, ""eod"": 1}"
e8_delay3	047040	20260406	True	17.0252	16.9985	1	1	1700410.0000	1677130.0000	-23280.0000	-28494.2350	1701515.2665	-1.6746	-0.2791	-2.2248	"{""eod"": 1}"
e9_nostop	047040	20260406	True	17.0252	16.9985	2	2	3379850.0000	3386610.0000	6760.0000	-3734.0970	1693750.2225	-0.2205	-0.0367	-3.4910	"{""tp"": 1, ""eod"": 1}"
e0_base_stop2.5	003280	20260406	True	20.4521	24.7408	8	8	13622310.0000	13417110.0000	-205200.0000	-246926.4210	1704682.3237	-14.4852	-2.4142	-3.8414	"{""stop"": 5, ""tp"": 2, ""eod"": 1}"
e1_atr0.3	003280	20260406	True	20.4521	24.7408	4	4	6811755.0000	6671935.0000	-139820.0000	-160593.8815	1705587.9120	-9.4157	-1.5693	-5.3066	"{""tp"": 1, ""stop"": 2, ""eod"": 1}"
e2_atr0.5	003280	20260406	True	20.4521	24.7408	3	3	5110315.0000	4995615.0000	-114700.0000	-130260.9615	1705587.9120	-7.6373	-1.2729	-8.4906	"{""tp"": 1, ""stop"": 1, ""eod"": 1}"
e3_atr1.5	003280	20260406	True	20.4521	24.7408	2	2	3408055.0000	3289080.0000	-118975.0000	-129248.4817	1705587.9120	-7.5779	-1.2630	-11.4387	"{""tp"": 1, ""eod"": 1}"
e4_atr2.0	003280	20260406	True	20.4521	24.7408	2	2	3408055.0000	3289080.0000	-118975.0000	-129248.4817	1705587.9120	-7.5779	-1.2630	-11.4387	"{""tp"": 1, ""eod"": 1}"
e5_atr2.5	003280	20260406	True	20.4521	24.7408	2	2	3408055.0000	3289080.0000	-118975.0000	-129248.4817	1705587.9120	-7.5779	-1.2630	-11.4387	"{""tp"": 1, ""eod"": 1}"
e6_delay1	003280	20260406	True	20.4521	24.7408	8	8	13616380.0000	13401000.0000	-215380.0000	-257063.0970	1704682.3237	-15.0798	-2.5133	-3.9604	"{""stop"": 5, ""tp"": 2, ""eod"": 1}"
e7_delay2	003280	20260406	True	20.4521	24.7408	4	4	6809280.0000	6715935.0000	-93345.0000	-114225.0727	1705587.9120	-6.6971	-1.1162	-4.8349	"{""tp"": 1, ""stop"": 2, ""eod"": 1}"
