                         variant  buys  gross_pct  net_pct  net_per_buy  months_pos  months  net_total_man  deployed_avg_man
 w_take1.2_stop4.0_atr4.0_dev0.0   630      0.270    0.039      829.962           5      13         52.288           769.572
w_take1.2_stop4.0_atr4.5_dev-3.0   968      0.270    0.039      816.876           7      13         79.074          1065.241
w_take1.5_stop3.0_atr4.0_dev-3.0   628      0.269    0.039      817.106           6      13         51.314           811.658
w_take1.2_stop5.0_atr5.0_dev-3.0  1194      0.269    0.038      797.502           9      13         95.222          1310.229
w_take1.2_stop3.0_atr4.0_dev-1.0   703      0.268    0.037      785.067           7      13         55.190           786.674
w_take1.5_stop3.0_atr4.5_dev-1.0   856      0.267    0.037      769.041           5      13         65.830          1039.666
w_take1.0_stop5.0_atr4.5_dev-3.0  1041      0.267    0.036      759.116           7      13         79.024          1071.661
 w_take1.5_stop3.0_atr5.0_dev0.0  1042      0.267    0.036      754.578           7      13         78.627          1206.869
w_take1.2_stop3.0_atr5.0_dev-1.0  1288      0.266    0.035      738.637           8      13         95.137          1259.620
 w_take1.2_stop3.0_atr5.0_dev0.0  1209      0.266    0.035      734.931           8      13         88.853          1200.424
 w_take1.0_stop5.0_atr4.5_dev0.0   968      0.265    0.034      723.887           6      13         70.072          1018.592
w_take1.5_stop3.0_atr5.0_dev-1.0  1111      0.265    0.034      719.629           7      13         79.951          1264.442
 w_take1.2_stop3.0_atr4.0_dev0.0   663      0.265    0.034      717.970           6      13         47.601           750.141
w_take1.0_stop4.0_atr4.0_dev-3.0   777      0.264    0.034      711.490           6      13         55.283           809.090
w_take1.2_stop4.0_atr4.5_dev-1.0   934      0.263    0.033      684.450           6      13         63.928          1044.133
 w_take1.2_stop3.0_atr4.5_dev0.0   928      0.260    0.030      626.957           6      13         58.182           987.245
w_take1.2_stop3.0_atr4.5_dev-3.0  1029      0.260    0.029      618.952           6      13         63.690          1066.477
w_take1.5_stop4.0_atr5.0_dev-3.0  1082      0.259    0.029      595.091           9      13         64.389          1311.085
w_take1.5_stop3.0_atr5.0_dev-3.0  1159      0.259    0.028      590.525           8      13         68.442          1304.262
w_take1.2_stop4.0_atr5.0_dev-3.0  1256      0.258    0.027      564.348           9      13         70.882          1300.161
 w_take1.5_stop4.0_atr4.5_dev0.0   764      0.258    0.027      565.618           6      13         43.213          1014.962
w_take1.5_stop3.0_atr4.5_dev-3.0   890      0.257    0.026      554.570           7      13         49.357          1071.346
w_take1.0_stop4.0_atr4.0_dev-1.0   751      0.257    0.026      549.570           6      13         41.273           793.718
 w_take1.5_stop3.0_atr4.5_dev0.0   803      0.256    0.026      539.176           5      13         43.296           993.717
w_take1.2_stop3.0_atr5.0_dev-3.0  1343      0.256    0.025      521.627           8      13         70.055          1300.213
w_take1.2_stop3.0_atr4.0_dev-3.0   727      0.255    0.025      522.394           7      13         37.978           808.924
 w_take1.0_stop3.0_atr4.0_dev0.0   754      0.250    0.020      413.853           6      13         31.205           746.198
w_take1.5_stop4.0_atr5.0_dev-1.0  1045      0.250    0.019      400.246           9      13         41.826          1282.697
w_take1.2_stop4.0_atr5.0_dev-1.0  1208      0.247    0.017      354.591           9      13         42.835          1271.781
 w_take1.0_stop4.0_atr4.0_dev0.0   716      0.246    0.016      334.865           6      13         23.976           766.412
 w_take1.5_stop4.0_atr5.0_dev0.0   988      0.246    0.016      329.521           9      13         32.557          1234.194
 w_take1.0_stop5.0_atr5.0_dev0.0  1246      0.246    0.015      319.256           9      13         39.779          1238.824
w_take1.0_stop4.0_atr4.5_dev-3.0  1091      0.246    0.015      317.806           7      13         34.673          1061.406
w_take1.0_stop3.0_atr4.0_dev-1.0   795      0.246    0.015      317.273           6      13         25.223           782.013
w_take1.0_stop3.0_atr4.5_dev-1.0  1115      0.244    0.013      272.669           5      13         30.403          1029.495
 w_take1.2_stop4.0_atr5.0_dev0.0  1140      0.241    0.010      209.728           9      13         23.909          1222.391
 w_take1.0_stop3.0_atr5.0_dev0.0  1356      0.240    0.009      197.537           7      13         26.786          1197.046
w_take1.0_stop5.0_atr5.0_dev-1.0  1299      0.240    0.009      189.753           9      13         24.649          1277.467
 w_take1.2_stop4.0_atr4.5_dev0.0   883      0.239    0.008      169.425           6      13         14.960          1006.979
w_take1.0_stop4.0_atr4.5_dev-1.0  1052      0.238    0.008      162.496           6      13         17.095          1040.281
w_take1.0_stop5.0_atr5.0_dev-3.0  1345      0.238    0.007      155.567           8      13         20.924          1304.282
 w_take1.0_stop3.0_atr4.5_dev0.0  1050      0.237    0.007      139.191           5      13         14.615           981.821
w_take1.0_stop3.0_atr4.0_dev-3.0   823      0.236    0.006      124.735           6      13         10.266           804.276
w_take1.0_stop3.0_atr5.0_dev-1.0  1439      0.236    0.006      117.481           7      13         16.906          1254.769
w_take1.0_stop3.0_atr4.5_dev-3.0  1160      0.234    0.004       78.663           6      13          9.125          1062.731
w_take1.0_stop4.0_atr5.0_dev-3.0  1412      0.231    0.001       11.601           9      13          1.638          1296.582
w_take1.0_stop3.0_atr5.0_dev-3.0  1501      0.229   -0.002      -38.850           7      13         -5.831          1295.371
 w_take1.0_stop4.0_atr4.5_dev0.0   998      0.220   -0.010     -219.847           6      13        -21.941          1001.542
w_take1.0_stop4.0_atr5.0_dev-1.0  1355      0.219   -0.012     -247.582           9      13        -33.547          1268.185
 w_take1.0_stop4.0_atr5.0_dev0.0  1285      0.216   -0.014     -299.544           9      13        -38.491          1220.349
