variant	month	n_days	n_buy_fills	n_sell_fills	mean_r	mae_med	win_rate	turnover	deployed	gross	net	cost	turnover_x	cost_share
w_take1.0_stop5.0_atr4.5_dev0.0	202511	66	99	66	0.1014	-0.9516	0.6818	210031450.0000	140711303.5300	1189000.0000	863102.2900	325897.7100	1.4926	0.2741
w_take1.0_stop5.0_atr4.5_dev0.0	202512	108	149	78	0.0983	-0.8905	0.5278	312298670.0000	227448162.1075	1734260.0000	1353358.9180	380901.0820	1.3731	0.2196
w_take1.0_stop5.0_atr4.5_dev0.0	202601	117	209	155	0.1744	-0.8475	0.7436	437443400.0000	246114861.6925	3353400.0000	2600997.0900	752402.9100	1.7774	0.2244
w_take1.0_stop5.0_atr4.5_dev0.0	202602	61	102	69	0.1569	-1.2152	0.7213	215286170.0000	128877458.7195	1558980.0000	1219711.4910	339268.5090	1.6705	0.2176
w_take1.0_stop5.0_atr4.5_dev0.0	202603	10	16	14	-0.2403	-4.0965	0.4000	33401900.0000	21012451.3950	-234750.0000	-301793.2975	67043.2975	1.5896	0.2856
w_take1.0_stop5.0_atr4.5_dev0.0	202604	33	51	32	0.0879	-0.9960	0.5455	107624430.0000	69568143.6565	529430.0000	371219.7115	158210.2885	1.5470	0.2988
w_take1.0_stop5.0_atr4.5_dev0.0	202605	31	56	44	0.1468	-1.3684	0.6774	117116700.0000	66259437.4250	789600.0000	576047.2900	213552.7100	1.7675	0.2705
w_take1.0_stop5.0_atr4.5_dev0.0	202606	6	9	6	0.1315	-1.4258	0.5000	18507400.0000	12461468.9400	125400.0000	97065.1000	28334.9000	1.4852	0.2260
w_take1.0_stop5.0_atr4.5_dev0.0	202608	17	24	11	0.0891	-1.3609	0.4706	49911100.0000	35149371.6150	250600.0000	195928.8700	54671.1300	1.4200	0.2182
w_take1.0_stop5.0_atr4.5_dev0.0	202609	43	71	53	0.1512	-1.1844	0.6977	149991100.0000	91341249.1325	1093900.0000	834257.9250	259642.0750	1.6421	0.2374
w_take1.0_stop5.0_atr5.0_dev-1.0	202509	63	89	46	0.0812	-1.0017	0.4921	186023820.0000	131559150.9130	877150.0000	651434.6825	225715.3175	1.4140	0.2573
w_take1.0_stop5.0_atr5.0_dev-1.0	202510	87	137	95	0.1185	-1.2407	0.7126	286911250.0000	183800245.9020	1775350.0000	1313337.0945	462012.9055	1.5610	0.2602
