                          variant  buys  gross_pct  net_pct  net_per_buy  months_pos  months  net_total_man  deployed_avg_man
w3_take8.0_stop6.0_atr4.0_dev-1.0   330      0.591    0.359     7575.040           6      13        249.976           835.065
w3_take5.0_stop6.0_atr4.0_dev-1.0   341      0.578    0.347     7309.792           6      13        249.264           833.744
w3_take4.0_stop6.0_atr4.0_dev-1.0   358      0.573    0.341     7191.899           6      13        257.470           832.157
w3_take8.0_stop8.0_atr4.0_dev-1.0   327      0.570    0.339     7154.514           7      13        233.953           841.084
w3_take8.0_stop0.0_atr4.0_dev-1.0   326      0.562    0.331     6972.413           6      13        227.301           846.068
w3_take3.0_stop6.0_atr4.0_dev-1.0   390      0.560    0.329     6930.965           6      13        270.308           830.002
w3_take5.0_stop8.0_atr4.0_dev-1.0   338      0.559    0.327     6900.598           7      13        233.240           839.764
w3_take3.5_stop6.0_atr4.0_dev-1.0   371      0.556    0.325     6839.670           6      13        253.752           831.495
w3_take4.0_stop8.0_atr4.0_dev-1.0   355      0.554    0.323     6801.304           7      13        241.446           838.176
w3_take5.0_stop0.0_atr4.0_dev-1.0   337      0.550    0.319     6723.687           6      13        226.588           844.747
w3_take4.0_stop0.0_atr4.0_dev-1.0   354      0.546    0.315     6632.608           7      13        234.794           843.160
w3_take3.0_stop8.0_atr4.0_dev-1.0   387      0.543    0.312     6576.575           7      13        254.513           836.021
w3_take3.5_stop8.0_atr4.0_dev-1.0   368      0.538    0.307     6466.238           7      13        237.958           837.515
w3_take3.0_stop0.0_atr4.0_dev-1.0   386      0.536    0.305     6415.336           7      13        247.632           841.006
w3_take3.5_stop0.0_atr4.0_dev-1.0   367      0.530    0.299     6296.352           6      13        231.076           842.500
w3_take8.0_stop6.0_atr4.5_dev-1.0   457      0.484    0.253     5291.643           7      13        241.828          1090.339
w3_take5.0_stop6.0_atr4.5_dev-1.0   472      0.468    0.237     4971.320           7      13        234.646          1089.039
w3_take4.0_stop6.0_atr4.5_dev-1.0   497      0.456    0.225     4721.217           8      13        234.644          1085.202
w3_take8.0_stop6.0_atr5.0_dev-1.0   586      0.448    0.217     4532.445           9      13        265.601          1333.029
w3_take3.0_stop6.0_atr4.5_dev-1.0   542      0.442    0.211     4407.767           7      13        238.901          1084.523
w3_take3.5_stop6.0_atr4.5_dev-1.0   517      0.441    0.210     4403.196           7      13        227.645          1085.382
w3_take5.0_stop6.0_atr5.0_dev-1.0   606      0.433    0.202     4207.218           9      13        254.957          1329.152
w3_take4.0_stop6.0_atr5.0_dev-1.0   638      0.415    0.185     3850.480          10      13        245.661          1325.024
w3_take3.0_stop6.0_atr5.0_dev-1.0   696      0.411    0.180     3763.460          10      13        261.937          1323.800
w3_take3.5_stop6.0_atr5.0_dev-1.0   666      0.410    0.179     3744.793           9      13        249.403          1325.545
w3_take8.0_stop0.0_atr5.0_dev-1.0   577      0.409    0.178     3710.581           9      13        214.101          1373.579
w3_take8.0_stop8.0_atr5.0_dev-1.0   579      0.407    0.176     3682.772           9      13        213.233          1351.708
w3_take8.0_stop8.0_atr4.5_dev-1.0   454      0.407    0.176     3691.736           7      13        167.605          1109.742
w3_take5.0_stop8.0_atr4.5_dev-1.0   469      0.394    0.163     3420.533           7      13        160.423          1108.443
w3_take5.0_stop0.0_atr5.0_dev-1.0   596      0.394    0.163     3403.859           8      13        202.870          1369.708
w3_take5.0_stop8.0_atr5.0_dev-1.0   599      0.393    0.162     3382.113           8      13        202.589          1347.831
w3_take4.0_stop8.0_atr4.5_dev-1.0   494      0.386    0.155     3247.392           7      13        160.421          1104.605
w3_take3.0_stop8.0_atr4.5_dev-1.0   539      0.379    0.148     3092.456           7      13        166.683          1104.658
w3_take3.0_stop8.0_atr5.0_dev-1.0   689      0.378    0.147     3064.218           8      13        211.125          1343.227
w3_take4.0_stop0.0_atr5.0_dev-1.0   628      0.377    0.147     3061.561           8      13        192.266          1367.154
w3_take8.0_stop0.0_atr4.5_dev-1.0   453      0.376    0.145     3039.249           7      13        137.678          1126.270
w3_take3.5_stop8.0_atr4.5_dev-1.0   514      0.375    0.144     3023.883           7      13        155.428          1105.518
w3_take3.0_stop0.0_atr5.0_dev-1.0   686      0.375    0.144     3008.846           9      13        206.407          1364.229
w3_take4.0_stop8.0_atr5.0_dev-1.0   631      0.374    0.143     2996.053           8      13        189.051          1344.490
w3_take3.5_stop8.0_atr5.0_dev-1.0   659      0.372    0.141     2952.196           9      13        194.550          1344.987
w3_take3.5_stop0.0_atr5.0_dev-1.0   656      0.370    0.139     2901.993           9      13        190.371          1366.774
w3_take5.0_stop0.0_atr4.5_dev-1.0   468      0.364    0.133     2788.380           7      13        130.496          1124.971
w3_take4.0_stop0.0_atr4.5_dev-1.0   493      0.357    0.126     2646.945           7      13        130.494          1121.134
w3_take3.0_stop0.0_atr4.5_dev-1.0   538      0.347    0.116     2432.699           7      13        130.879          1121.105
w3_take3.5_stop0.0_atr4.5_dev-1.0   513      0.342    0.111     2331.841           7      13        119.623          1121.964
