variant	month	n_days	n_buy_fills	n_sell_fills	mean_r	mae_med	win_rate	turnover	deployed	gross	net	cost	turnover_x	cost_share
w2_take2.0_stop0.0_atr5.0_dev-1.0	202602	108	80	73	0.1666	-0.5930	0.4630	168147390.0000	227973680.9235	2492080.0000	2132725.4860	359354.5140	0.7376	0.1442
w2_take2.0_stop0.0_atr5.0_dev-1.0	202603	44	23	33	-0.6120	-6.7477	0.2045	48086550.0000	91711504.6625	-3147390.0000	-3298440.6015	151050.6015	0.5243	0.0480
w2_take2.0_stop0.0_atr5.0_dev-1.0	202604	79	54	56	0.0763	-0.6219	0.4304	112850030.0000	165434471.4490	1083170.0000	811072.1605	272097.8395	0.6821	0.2512
w2_take2.0_stop0.0_atr5.0_dev-1.0	202605	60	58	60	0.0663	-1.4193	0.5500	119747700.0000	124703302.6900	792500.0000	505522.9850	286977.0150	0.9603	0.3621
w2_take2.0_stop0.0_atr5.0_dev-1.0	202606	8	4	5	-0.1847	-1.2668	0.3750	8294400.0000	16591288.3200	-159700.0000	-183023.1850	23323.1850	0.4999	0.1460
w2_take2.0_stop0.0_atr5.0_dev-1.0	202607	3	4	3	0.2275	-0.3950	1.0000	8659940.0000	6513026.8075	104030.0000	88875.2185	15154.7815	1.3296	0.1457
w2_take2.0_stop0.0_atr5.0_dev-1.0	202608	46	35	29	0.0441	-0.9961	0.3913	73540000.0000	96786665.8225	393500.0000	251314.2600	142185.7400	0.7598	0.3613
w2_take2.0_stop0.0_atr5.0_dev-1.0	202609	89	66	73	0.0238	-0.9328	0.4382	138496650.0000	187055204.0725	373850.0000	21714.8975	352135.1025	0.7404	0.9419
w2_take2.0_stop5.0_atr3.5_dev-1.0	202509	53	36	31	0.0052	-0.6917	0.3396	75590220.0000	110873768.5710	206870.0000	57286.5135	149583.4865	0.6818	0.7231
w2_take2.0_stop5.0_atr3.5_dev-1.0	202510	65	43	44	0.0167	-1.0256	0.4154	91032000.0000	138051204.5750	346650.0000	131459.3725	215190.6275	0.6594	0.6208
w2_take2.0_stop5.0_atr3.5_dev-1.0	202511	44	32	33	0.0461	-0.6939	0.5000	68563190.0000	94549760.3370	423820.0000	260152.9900	163667.0100	0.7252	0.3862
w2_take2.0_stop5.0_atr3.5_dev-1.0	202512	109	69	63	-0.0749	-0.7955	0.2202	145997430.0000	230860383.8640	-705150.0000	-1009745.2055	304595.2055	0.6324	0.4320
w2_take2.0_stop5.0_atr3.5_dev-1.0	202601	101	76	80	0.0908	-0.5874	0.5050	161628650.0000	215497689.8055	1583290.0000	1188401.1555	394888.8445	0.7500	0.2494
w2_take2.0_stop5.0_atr3.5_dev-1.0	202602	29	16	20	0.1690	-0.3454	0.5172	34273340.0000	62309735.0585	653540.0000	553277.9220	100262.0780	0.5500	0.1534
w2_take2.0_stop5.0_atr3.5_dev-1.0	202603	4	4	3	-0.3824	-4.1412	0.2500	8577300.0000	8390458.3800	-172450.0000	-186452.6225	14002.6225	1.0223	0.0812
w2_take2.0_stop5.0_atr3.5_dev-1.0	202604	24	15	15	0.0106	-0.6858	0.2917	31633500.0000	50766313.8050	104000.0000	30756.4600	73243.5400	0.6231	0.7043
w2_take2.0_stop5.0_atr3.5_dev-1.0	202605	17	12	14	-0.0497	-1.3514	0.4706	25480700.0000	36404359.8350	-39400.0000	-107514.6600	68114.6600	0.6999	1.7288
w2_take2.0_stop5.0_atr3.5_dev-1.0	202608	3	2	1	-0.3804	-0.6884	0.0000	3772000.0000	5370805.5000	-106000.0000	-109447.5000	3447.5000	0.7023	0.0325
w2_take2.0_stop5.0_atr3.5_dev-1.0	202609	22	15	16	0.0707	-0.9165	0.3636	31754000.0000	46846925.9850	185350.0000	106917.0975	78432.9025	0.6778	0.4232
w2_take2.0_stop5.0_atr4.0_dev-1.0	202509	72	48	41	-0.0079	-0.7141	0.3194	100495020.0000	150110053.1310	135070.0000	-62091.9365	197161.9365	0.6695	1.4597
w2_take2.0_stop5.0_atr4.0_dev-1.0	202510	90	62	61	0.0130	-1.0271	0.4222	129895900.0000	188887328.8500	414650.0000	119543.8825	295106.1175	0.6877	0.7117
w2_take2.0_stop5.0_atr4.0_dev-1.0	202511	75	54	58	0.1002	-0.7619	0.5333	115334900.0000	160318194.1225	1247530.0000	960226.9505	287303.0495	0.7194	0.2303
w2_take2.0_stop5.0_atr4.0_dev-1.0	202512	136	85	80	-0.0862	-0.8380	0.2426	179500230.0000	287902838.9490	-1085850.0000	-1471558.9105	385708.9105	0.6235	0.3552
w2_take2.0_stop5.0_atr4.0_dev-1.0	202601	121	93	97	0.1083	-0.5874	0.5289	196919150.0000	257398573.9955	2160590.0000	1683291.8105	477298.1895	0.7650	0.2209
w2_take2.0_stop5.0_atr4.0_dev-1.0	202602	48	31	29	0.1640	-0.4226	0.4375	65473990.0000	101720945.8535	999340.0000	855547.4370	143792.5630	0.6437	0.1439
w2_take2.0_stop5.0_atr4.0_dev-1.0	202603	11	5	9	-0.3089	-3.9448	0.1818	10738900.0000	23151872.2600	-367680.0000	-410237.3580	42557.3580	0.4638	0.1157
w2_take2.0_stop5.0_atr4.0_dev-1.0	202604	37	24	25	-0.0090	-0.7134	0.3243	50743330.0000	78590146.7540	103370.0000	-18796.4745	122166.4745	0.6457	1.1818
w2_take2.0_stop5.0_atr4.0_dev-1.0	202605	28	28	29	0.1522	-0.7314	0.6071	58558300.0000	59113515.6975	663300.0000	522185.4750	141114.5250	0.9906	0.2127
w2_take2.0_stop5.0_atr4.0_dev-1.0	202606	6	3	4	-0.3397	-2.7072	0.1667	6299200.0000	12600289.7600	-237900.0000	-256466.0950	18566.0950	0.4999	0.0780
w2_take2.0_stop5.0_atr4.0_dev-1.0	202608	8	7	5	-0.1416	-1.3281	0.3750	14299000.0000	15893583.6800	-77900.0000	-100886.6150	22986.6150	0.8997	0.2951
w2_take2.0_stop5.0_atr4.0_dev-1.0	202609	50	38	40	0.0282	-1.0998	0.4400	80099150.0000	105979044.4725	204450.0000	10048.7875	194401.2125	0.7558	0.9508
w2_take2.0_stop5.0_atr5.0_dev-1.0	202509	93	63	54	0.0006	-0.8606	0.3226	131195320.0000	192630930.3060	279420.0000	20850.7410	258569.2590	0.6811	0.9254
w2_take2.0_stop5.0_atr5.0_dev-1.0	202510	123	89	89	0.0339	-1.0217	0.4553	186356520.0000	258553417.1960	928460.0000	497758.4850	430701.5150	0.7208	0.4639
w2_take2.0_stop5.0_atr5.0_dev-1.0	202511	151	103	108	-0.0048	-1.0938	0.4106	215716212.0000	316995292.1625	457568.0000	-63891.5388	521459.5388	0.6805	1.1396
w2_take2.0_stop5.0_atr5.0_dev-1.0	202512	182	119	112	-0.0806	-1.1178	0.2637	247740830.0000	380317499.0690	-1283500.0000	-1817244.5930	533744.5930	0.6514	0.4159
w2_take2.0_stop5.0_atr5.0_dev-1.0	202601	192	154	157	0.0896	-0.7253	0.5208	320540850.0000	401281853.2505	2952790.0000	2195663.6105	757126.3895	0.7988	0.2564
w2_take2.0_stop5.0_atr5.0_dev-1.0	202602	111	81	75	0.1088	-0.6612	0.4324	170175390.0000	234290828.3535	1747640.0000	1380023.1720	367616.8280	0.7263	0.2104
w2_take2.0_stop5.0_atr5.0_dev-1.0	202603	37	23	32	-0.3812	-4.2553	0.1622	48086550.0000	77023651.8150	-1577430.0000	-1726657.5555	149227.5555	0.6243	0.0946
w2_take2.0_stop5.0_atr5.0_dev-1.0	202604	79	56	58	0.0501	-0.6276	0.4304	116925530.0000	165249143.6540	827070.0000	546149.1255	280920.8745	0.7076	0.3397
w2_take2.0_stop5.0_atr5.0_dev-1.0	202605	64	63	65	0.0487	-1.4193	0.5312	130547700.0000	133684749.7050	699550.0000	387932.8275	311617.1725	0.9765	0.4455
