family	category	n_legs	n_days	win_rate	win_rate_low	win_rate_high	mean_pnl	mean_pnl_low	mean_pnl_high	median_pnl	total_pnl	return_pct	return_pct_low	return_pct_high
ITB	seed-trail	38	3	0.5263	0.1111	0.9231	8304.7	-45349.7	44851.2	10650.3	315578.9	0.2375	-1.4261	0.9861
ITB	본전탈출	29	2	0.1034	0.0000	0.1111	-14758.1	-62011.1	-11257.9	-6946.9	-427985.4	-0.3359	-1.1422	-0.2608
ORPHAN	이전세션	15	2	0.6667	0.5455	1.0000	42796.1	28591.2	81859.5	12277.4	641940.9	1.6773	1.1126	3.2724
DEVSCALE	존이탈	10	1	0.1000			-857.8			-375.1	-8577.9	-0.0690		
DISPLACE	교체진입	7	2	0.4286	0.0000	0.5000	-5889.7	-6507.9	-2180.4	-231.5	-41227.6	-0.2137	-0.2393	-0.0731
TRENDX	익절밴드	4	2	1.0000	1.0000	1.0000	88373.2	24115.3	281146.8	34419.6	353492.7	5.9878	3.2320	7.6708
DEVSCALE	익절밴드	1	1	1.0000			42989.4			42989.4	42989.4	1.0732		
TRENDX	존이탈	1	1	0.0000			-15023.9			-15023.9	-15023.9	-1.8898		
