# quant.regime_a1_permutation/v1  seed=20260911  n_perm=1000  commit=7e9d8c1
# data=PYQuant/.index_cache/idx__KS11_1996-01-01_2026-08-15_adj.parquet  label=score_v0→classify_v0 (closes[:D+1])
# fwdH=open[D+1+H]/open[D+1]-1  primary_H=20  shuffle=episode-block  p=(1+k)/(1+N)
# section=permutation
scope	horizon	n_bars	n_bear	n_nonbear	n_blocks	n_bear_blocks	mean_bear	mean_nonbear	mean_diff	median_diff	sign	p_one_mean	p_two_mean	p_one_median	p_two_median	perm_mean_sd
main_1997_2026_ex2022	20	6841	1513	5328	219	45	0.012786	0.010057	0.002729	0.003134	양(BEAR 더 좋음)	0.614386	0.786214	0.664336	0.630370	0.009743
main_1997_2026_ex2022	5	6856	1513	5343	220	45	0.002229	0.002775	-0.000546	-0.000335	음(BEAR 더 나쁨)	0.409590	0.831169	0.407592	0.837163	0.002559
main_1997_2026_ex2022	10	6851	1513	5338	220	45	0.005345	0.005220	0.000125	0.001124	양(BEAR 더 좋음)	0.515485	0.985015	0.605395	0.780220	0.005004
main_1997_2026_ex2022	60	6801	1513	5288	219	45	0.044772	0.032553	0.012219	0.014001	양(BEAR 더 좋음)	0.677323	0.653347	0.776224	0.398601	0.026154
sens_ex_1997_98	20	6539	1352	5187	213	42	0.010676	0.010167	0.000508	0.003842	양(BEAR 더 좋음)	0.470529	0.961039	0.678322	0.584416	0.009286
sens_ex_1997_98	5	6554	1352	5202	214	42	0.001774	0.002842	-0.001067	-0.000652	음(BEAR 더 나쁨)	0.315684	0.646354	0.332667	0.698302	0.002399
sens_ex_1997_98	10	6549	1352	5197	214	42	0.004798	0.005223	-0.000425	0.001162	음(BEAR 더 나쁨)	0.461538	0.942058	0.615385	0.738262	0.004771
sens_ex_1997_98	60	6499	1352	5147	213	42	0.026907	0.034312	-0.007405	0.011017	음(BEAR 더 나쁨)	0.366633	0.778222	0.711289	0.526474	0.024795
sens_ex_2008	20	6593	1355	5238	213	43	0.016647	0.010952	0.005695	0.003915	양(BEAR 더 좋음)	0.714286	0.567433	0.691309	0.593407	0.010188
sens_ex_2008	5	6608	1355	5253	214	43	0.003019	0.003015	0.000004	0.000286	양(BEAR 더 좋음)	0.496503	0.999001	0.567433	0.881119	0.002538
sens_ex_2008	10	6603	1355	5248	214	43	0.007185	0.005698	0.001487	0.001456	양(BEAR 더 좋음)	0.615385	0.769231	0.682318	0.670330	0.004989
