variant	month	n_days	n_buy_fills	n_sell_fills	mean_r	mae_med	win_rate	turnover	deployed	gross	net	cost	turnover_x	cost_share
v1_current	202609	45	179	86	0.0077	-2.5397	0.5778	211841130.0000	135815037.4297	-1257975.0000	-1911600.4642	653625.4642	1.5598	0.5196
v2_norung	202609	45	86	86	-0.0201	-2.5397	0.6000	141679465.0000	75157750.8045	343780.0000	-96268.6025	440048.6025	1.8851	1.2800
v3_norung_stop2.5	202609	45	123	123	-0.0740	-2.5397	0.5556	203736790.0000	75304606.1985	277565.0000	-354699.0832	632264.0832	2.7055	2.2779
v4_norung_stop_trail	202609	45	200	200	-0.1839	-2.0353	0.4889	331404420.0000	75503785.5810	175605.0000	-852178.9342	1027783.9342	4.3892	5.8528
